year,order,name,conditions,surface,fin_commit,winner,winner_slug,currency,amount
2003,1,Chennai,Outdoor,Hard,"$380,000",Paradorn Srichaphan,paradorn-srichaphan,$,380000.0
2003,2,Doha,Outdoor,Hard,"$1,000,000",Stefan Koubek,stefan-koubek,$,1000000.0
2003,3,Auckland,Outdoor,Hard,"$347,000",Gustavo Kuerten,gustavo-kuerten,$,347000.0
2003,4,Sydney,Outdoor,Hard,"$347,000",Hyung-Taik Lee,hyung-taik-lee,$,347000.0
2003,5,Australian Open,Outdoor,Hard,"$4,861,502",Andre Agassi,andre-agassi,$,4861502.0
2003,6,Milan,Indoor,Carpet,"$380,000",Martin Verkerk,martin-verkerk,$,380000.0
2003,7,Marseille,Indoor,Hard,"$500,000",Roger Federer,roger-federer,$,500000.0
2003,8,San Jose,Indoor,Hard,"$380,000",Andre Agassi,andre-agassi,$,380000.0
2003,9,Viña del Mar,Outdoor,Clay,"$345,000",David Sanchez,david-sanchez,$,345000.0
2003,10,Buenos Aires,Outdoor,Clay,"$380,000",Carlos Moya,carlos-moya,$,380000.0
2003,11,Memphis,Indoor,Hard,"$690,000",Taylor Dent,taylor-dent,$,690000.0
2003,12,Rotterdam,Indoor,Hard,"$825,000",Max Mirnyi,max-mirnyi,$,825000.0
2003,13,Acapulco,Outdoor,Clay,"$690,000",Agustin Calleri,agustin-calleri,$,690000.0
2003,14,Copenhagen,Indoor,Hard,"$380,000",Karol Kucera,karol-kucera,$,380000.0
2003,15,Dubai,Outdoor,Hard,"$1,000,000",Roger Federer,roger-federer,$,1000000.0
2003,16,Delray Beach,Outdoor,Hard,"$380,000",Jan-Michael Gambill,jan-michael-gambill,$,380000.0
2003,17,Scottsdale,Outdoor,Hard,"$380,000",Lleyton Hewitt,lleyton-hewitt,$,380000.0
2003,18,ATP Masters Series Indian Wells,Outdoor,Hard,"$2,450,000",Lleyton Hewitt,lleyton-hewitt,$,2450000.0
2003,19,ATP Masters Series Miami,Outdoor,Hard,"$3,250,000",Andre Agassi,andre-agassi,$,3250000.0
2003,20,Casablanca,Outdoor,Clay,"$400,000",Julien Boutter,julien-boutter,$,400000.0
2003,21,Estoril,Outdoor,Clay,"$525,000",Nikolay Davydenko,nikolay-davydenko,$,525000.0
2003,22,ATP Masters Series Monte Carlo,Outdoor,Clay,"$2,450,000",Juan Carlos Ferrero,juan-carlos-ferrero,$,2450000.0
2003,23,Barcelona,Outdoor,Clay,"$1,000,000",Carlos Moya,carlos-moya,$,1000000.0
2003,24,Houston,Outdoor,Clay,"$380,000",Andre Agassi,andre-agassi,$,380000.0
2003,25,Munich,Outdoor,Clay,"$380,000",Roger Federer,roger-federer,$,380000.0
2003,26,Valencia,Outdoor,Clay,"$400,000",Juan Carlos Ferrero,juan-carlos-ferrero,$,400000.0
2003,27,ATP Masters Series Rome,Outdoor,Clay,"$2,450,000",Felix Mantilla,felix-mantilla,$,2450000.0
2003,28,ATP Masters Series Hamburg,Outdoor,Clay,"$2,450,000",Guillermo Coria,guillermo-coria,$,2450000.0
2003,29,World Team Championship,Outdoor,Clay,"$1,850,000",Fernando Gonzalez,fernando-gonzalez,$,1850000.0
2003,30,St. Poelten,Outdoor,Clay,"$380,000",Andy Roddick,andy-roddick,$,380000.0
2003,31,Roland Garros,Outdoor,Clay,"$7,202,717",Juan Carlos Ferrero,juan-carlos-ferrero,$,7202717.0
2003,32,Halle,Outdoor,Grass,"$775,000",Roger Federer,roger-federer,$,775000.0
2003,33,London / Queen's Club,Outdoor,Grass,"$800,000",Andy Roddick,andy-roddick,$,800000.0
2003,34,Nottingham,Outdoor,Grass,"$380,000",Greg Rusedski,greg-rusedski,$,380000.0
2003,35,'s-Hertogenbosch,Outdoor,Grass,"$380,000",Sjeng Schalken,sjeng-schalken,$,380000.0
2003,36,Wimbledon,Outdoor,Grass,"$7,229,232",Roger Federer,roger-federer,$,7229232.0
2003,37,Bastad,Outdoor,Clay,"$380,000",Mariano Zabaleta,mariano-zabaleta,$,380000.0
2003,38,Gstaad,Outdoor,Clay,"$550,000",Jiri Novak,jiri-novak,$,550000.0
2003,39,Newport,Outdoor,Grass,"$380,000",Robby Ginepri,robby-ginepri,$,380000.0
2003,40,Amersfoort,Outdoor,Clay,"$380,000",Nicolas Massu,nicolas-massu,$,380000.0
2003,41,Stuttgart,Outdoor,Clay,"$765,000",Guillermo Coria,guillermo-coria,$,765000.0
2003,42,Indianapolis,Outdoor,Hard,"$600,000",Andy Roddick,andy-roddick,$,600000.0
2003,43,Kitzbuhel,Outdoor,Clay,"$925,000",Guillermo Coria,guillermo-coria,$,925000.0
2003,44,Umag,Outdoor,Clay,"$400,000",Carlos Moya,carlos-moya,$,400000.0
2003,45,Los Angeles,Outdoor,Hard,"$380,000",Wayne Ferreira,wayne-ferreira,$,380000.0
2003,46,Sopot,Outdoor,Clay,"$500,000",Guillermo Coria,guillermo-coria,$,500000.0
2003,47,Washington,Outdoor,Hard,"$600,000",Tim Henman,tim-henman,$,600000.0
2003,48,ATP Masters Series Canada,Outdoor,Hard,"$2,450,000",Andy Roddick,andy-roddick,$,2450000.0
2003,49,ATP Masters Series Cincinnati,Outdoor,Hard,"$2,450,000",Andy Roddick,andy-roddick,$,2450000.0
2003,50,Long Island,Outdoor,Hard,"$380,000",Paradorn Srichaphan,paradorn-srichaphan,$,380000.0
2003,51,US Open,Outdoor,Hard,"$7,336,000",Andy Roddick,andy-roddick,$,7336000.0
2003,52,Bucharest,Outdoor,Clay,"$380,000",David Sanchez,david-sanchez,$,380000.0
2003,53,Sao Paulo,Outdoor,Clay,"$380,000",Sjeng Schalken,sjeng-schalken,$,380000.0
2003,54,Bangkok,Indoor,Hard,"$525,000",Taylor Dent,taylor-dent,$,525000.0
2003,55,Palermo,Outdoor,Clay,"$380,000",Nicolas Massu,nicolas-massu,$,380000.0
2003,56,Shanghai,Outdoor,Hard,"$380,000",Mark Philippoussis,mark-philippoussis,$,380000.0
2003,57,Metz,Indoor,Hard,"$380,000",Arnaud Clement,arnaud-clement,$,380000.0
2003,58,Moscow,Indoor,Carpet,"$1,000,000",Taylor Dent,taylor-dent,$,1000000.0
2003,59,Tokyo,Outdoor,Hard,"$690,000",Rainer Schuettler,rainer-schuettler,$,690000.0
2003,60,Lyon,Indoor,Carpet,"$800,000",Rainer Schuettler,rainer-schuettler,$,800000.0
2003,61,Vienna,Indoor,Hard,"$765,000",Roger Federer,roger-federer,$,765000.0
2003,62,ATP Masters Series Madrid,Indoor,Hard,"$2,240,000",Juan Carlos Ferrero,juan-carlos-ferrero,$,2240000.0
2003,63,Basel,Indoor,Carpet,"$1,000,000",Guillermo Coria,guillermo-coria,$,1000000.0
